,date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc,date_date
242,06/04/2020,Gyeong- buk,1316,9,1174,566.0,417,190,1.0,133,2.0,2020-04-06
243,06/04/2020,Gyeong- nam,111,13,80,32.0,43,5,0.0,18,2.0,2020-04-06
244,06/04/2020,Jeju,12,7,1,0.0,0,0,1.0,4,0.0,2020-04-06
245,06/04/2020,Airport,310,310,0,0.0,0,0,0.0,0,7.0,2020-04-06
246,06/04/2020,Total,10284,769,8483,5208.0,1906,1251,118.0,1032,47.0,2020-04-06
247,07/04/2020,Seoul,567,200,340,7.0,248,27,58.0,27,4.0,2020-04-07
248,07/04/2020,Busan,123,12,80,12.0,50,18,0.0,31,1.0,2020-04-07
249,07/04/2020,Daegu,6794,12,6067,4508.0,636,919,4.0,715,13.0,2020-04-07
250,07/04/2020,Incheon,80,31,45,2.0,34,5,4.0,4,0.0,2020-04-07
251,07/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0,2020-04-07
252,07/04/2020,Daejeon,39,9,21,2.0,11,8,0.0,9,0.0,2020-04-07
253,07/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0,2020-04-07
254,07/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-04-07
255,07/04/2020,Gyeonggi,590,125,421,29.0,292,62,38.0,44,10.0,2020-04-07
256,07/04/2020,Gangwon,47,10,28,17.0,11,0,0.0,9,2.0,2020-04-07
257,07/04/2020,Chung- buk,45,5,32,6.0,18,6,2.0,8,0.0,2020-04-07
258,07/04/2020,Chung- nam,137,8,120,0.0,118,1,1.0,9,1.0,2020-04-07
259,07/04/2020,Jeon- buk,16,7,4,1.0,3,0,0.0,5,0.0,2020-04-07
260,07/04/2020,Jeon- nam,15,7,7,1.0,3,2,1.0,1,0.0,2020-04-07
261,07/04/2020,Gyeong- buk,1317,9,1175,566.0,417,191,1.0,133,1.0,2020-04-07
262,07/04/2020,Gyeong- nam,112,13,81,32.0,43,6,0.0,18,1.0,2020-04-07
263,07/04/2020,Jeju,12,7,1,0.0,0,0,1.0,4,0.0,2020-04-07
264,07/04/2020,Airport,324,324,0,0.0,0,0,0.0,0,14.0,2020-04-07
265,07/04/2020,Total,10331,802,8504,5209.0,1923,1253,119.0,1025,47.0,2020-04-07
266,08/04/2020,Seoul,578,207,341,7.0,248,26,60.0,30,11.0,2020-04-08
267,08/04/2020,Busan,125,15,81,12.0,50,18,1.0,29,2.0,2020-04-08
268,08/04/2020,Daegu,6803,12,6075,4508.0,640,923,4.0,716,9.0,2020-04-08
269,08/04/2020,Incheon,84,31,45,2.0,34,5,4.0,8,4.0,2020-04-08
270,08/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0,2020-04-08
271,08/04/2020,Daejeon,39,9,21,2.0,11,8,0.0,9,0.0,2020-04-08
272,08/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0,2020-04-08
273,08/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-04-08
274,08/04/2020,Gyeonggi,596,128,423,29.0,295,59,40.0,45,6.0,2020-04-08
275,08/04/2020,Gangwon,49,12,30,17.0,13,0,0.0,7,2.0,2020-04-08
276,08/04/2020,Chung- buk,45,5,32,6.0,18,6,2.0,8,0.0,2020-04-08
277,08/04/2020,Chung- nam,137,8,120,0.0,118,1,1.0,9,0.0,2020-04-08
278,08/04/2020,Jeonbuk,17,8,4,1.0,3,0,0.0,5,1.0,2020-04-08
279,08/04/2020,Jeonnam,15,7,7,1.0,3,2,1.0,1,0.0,2020-04-08
280,08/04/2020,Gyeong- buk,1320,9,1175,566.0,417,191,1.0,136,3.0,2020-04-08
281,08/04/2020,Gyeong- nam,113,13,83,32.0,43,7,1.0,17,1.0,2020-04-08
282,08/04/2020,Jeju,12,7,1,0.0,0,0,1.0,4,0.0,2020-04-08
283,08/04/2020,Airport,338,338,0,0.0,0,0,0.0,0,14.0,2020-04-08
284,08/04/2020,Total,10384,832,8520,5209.0,1932,1254,125.0,1032,53.0,2020-04-08
285,09/04/2020,Seoul,590,217,347,8.0,256,19,64.0,26,12.0,2020-04-09
286,09/04/2020,Busan,125,15,81,12.0,50,18,1.0,29,0.0,2020-04-09
287,09/04/2020,Daegu,6807,12,6079,4508.0,645,922,4.0,716,4.0,2020-04-09
288,09/04/2020,Incheon,84,33,46,2.0,34,5,5.0,5,0.0,2020-04-09
289,09/04/2020,Gwangju,27,11,16,9.0,0,1,6.0,0,0.0,2020-04-09
290,09/04/2020,Daejeon,39,9,21,2.0,11,8,0.0,9,0.0,2020-04-09
291,09/04/2020,Ulsan,40,9,24,16.0,1,4,3.0,7,0.0,2020-04-09
292,09/04/2020,Sejong,46,3,42,1.0,38,3,0.0,1,0.0,2020-04-09
